Title,Author,Price,Reviews,Weight,Language,User Rating,Pages
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",,24.95,108,1.63,English,4,472
"Statistical Analysis of fMRI Data, second edition (The MIT Press)",[ F. Gregory Ashby],59.36,2,2.15,English,5,568
Time Series for Data Science: Analysis and Forecasting (Chapman & Hall/CRC Texts in Statistical Science),,96,3,,English,5,506
Categorical Data Analysis (Wiley Series in Probability and Statistics),[ Alan Agresti],31.3,24,2.48,English,3,734
"Microsoft Office 365 For Beginners: The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access",[ Leonard J. Ledger],18.97,442,0.9,English,5,131
"Beginners Guide to Data Visualization: How to Understand, Design, and Optimize Over 40 Different Charts (All Things Data)",,15.99,11,0.87,English,5,222
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,[ Scott V. Burger],40.49,21,1.47,English,3,226
Statistical Analysis with R For Dummies (For Dummies (Computers)),[ Joseph Schmuller],19.59,279,1.34,English,4,464
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages,"[ Radhika Datar,  and , Harish Garg]",30.99,7,1.02,English,1,266
Mathematical Foundations for Data Analysis (Springer Series in the Data Sciences),,59.91,,1.51,English,1,304
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,"[ Michelle Suzanne Salmona, Eli Lieber, et al.]",48.99,19,1.04,English,3,280
Qualitative Data Analysis with NVivo,"[ Kristi Jackson,  and , Pat Bazeley]",47.85,110,1.39,English,4,376
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",[ Agresti],92.83,48,1.55,English,3,394
"Big Data Analytics in Earth, Atmospheric and Ocean Sciences (Special Publications)",,161.06,,1.15,English,1,352
"Pharmacokinetic and Pharmacodynamic Data Analysis: Concepts and Applications, Second Edition","[ Johan Gabrielsson,  and , Daniel Weiner]",233.6,14,4.45,English,3,560
